CLIENT_SUBCATEGORY,CLIENT_CATEGORY,GDW_SUBCAT,GDW_CAT,DIRECT_INDIRECT,INDUSTRY,SUM(TOTAL_AMOUNT)
"DRUMS, TOTES & PAILS",PACKAGING & SHIPPING SUPPLIES,"DRUMS, TOTES & PAILS",PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Food and Beverage,4238556.49
ELEVATOR / ESCALATOR MAINTENANCE,FACILITIES,VERTICAL TRANSPORT,REAL ESTATE & FACILITIES,INDIRECT,Food and Beverage,4102701.26
MAIL AND POSTAGE,OFFICE EQUIPMENT AND SERVICES,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Manufacturing,4371465.592
TALENT MGMT & RECRUITING SOFTWARE,INFORMATION TECHNOLOGY,TALENT MGMT & RECRUITING SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,30244310.8
CRATES,PACKAGING,PALLETS & CRATES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Manufacturing,60741128.53
PAINTING SERVICES,FACILITIES MANAGEMENT,PAINTING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Manufacturing,5518398.139
HCM & PAYROLL SOLUTIONS,INFORMATION TECHNOLOGY,HCM & PAYROLL SOLUTIONS,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,3187085.925
BI & DATA ANALYTICS SOFTWARE,INFORMATION TECHNOLOGY,BI & DATA ANALYTICS SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Manufacturing,3462055.778
PROPERTY MANAGEMENT,FACILITIES MANAGEMENT,PROPERTY MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Manufacturing,11284665.57
COMMUNICATION TOOLS & APIS,INFORMATION TECHNOLOGY,COMMUNICATION TOOLS & APIS,INFORMATION TECHNOLOGY,INDIRECT,Education,342321.74
VEHICLE GRAPHICS,FLEET,VEHICLE GRAPHICS,FLEET,INDIRECT,Education,136753.11
OFFICE SUPPLIES,CORPORATE,OFFICE SUPPLIES,CORPORATE,INDIRECT,Energy & Utilities,8007155.767
MEMBERSHIPS,CORPORATE,MEMBERSHIPS,CORPORATE,INDIRECT,Energy & Utilities,34057.05
FRANCHISE & ACQUISITION FEES,UNADDRESSABLE,FRANCHISE & ACQUISITION FEES,UNADDRESSABLE,UNADDRESSABLE,Energy & Utilities,3970038.2
LOBBYISTS,PROFESSIONAL SERVICES,LOBBYISTS,PROFESSIONAL SERVICES,INDIRECT,Energy & Utilities,1084370.39
INDUSTRIAL CLEANING,SUBCONTRACTED SERVICES,INDUSTRIAL CLEANING,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,41091.75
UTILITIES MANAGEMENT SERVICES,UTILITIES,UTILITIES MANAGEMENT SERVICES,UTILITIES,INDIRECT,Energy & Utilities,1202238.993
WASTE DISPOSAL & RECYCLING,FACILITY SERVICES (STORE & DC),WASTE DISPOSAL & RECYCLING,REAL ESTATE & FACILITIES,INDIRECT,Retail,353777734.9
STORE SUPPLIES,OPERATIONAL SUPPLIES,STORE SUPPLIES,STORE OPERATIONS,INDIRECT,Retail,50797984.64
FLEET MANAGEMENT & LEASING,FLEET,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Retail,484086839.5
SHIPPING & PACKING SUPPLIES,OPERATIONAL SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,INDIRECT,Retail,10694503.2
CORPORATE AIRCRAFT,TRAVEL,CORPORATE AIRCRAFT,CORPORATE,INDIRECT,Retail,44954186.26
DOCK DOORS & EQUIPMENT,WAREHOUSE ENGINEERING SERVICES,DOCK DOORS & EQUIPMENT,REAL ESTATE & FACILITIES,INDIRECT,Retail,6569515.37
Shades & Window Treatments,Real Estate & Facilities,BUILDING MATERIALS,MRO,INDIRECT,Consumer Packaged Goods (CPG),124964.57
ADVERTISING AGENCIES,MARKETING,ADVERTISING AGENCIES,MARKETING,INDIRECT,Insurance,107023113.2
Electronic Payment Processing,Administrative,CREDIT CARD PROCESSING,CORPORATE,INDIRECT,Pharmaceuticals,140265.09
Travel Management Companies,Travel,TRAVEL MANAGEMENT COMPANIES,TRAVEL,INDIRECT,Pharmaceuticals,1041547.06
QUALITY TESTING & INSPECTION,OUTSIDE PROCESSING,QUALITY TESTING & INSPECTION,OUTSIDE PROCESSING,DIRECT,Industrial Manufacturing,6391376.449
HAZARDOUS WASTE MANAGEMENT,REAL ESTATE & FACILITIES,HAZARDOUS WASTE MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Industrial Manufacturing,858621.9418
MEDIA PRODUCTION,MARKETING,MEDIA PRODUCTION,MARKETING,INDIRECT,Business Services,5741276.34
ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Business Services,2764388.596
CATERING,FACILITIES MANAGEMENT,FOOD SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Manufacturing,100724888.4
MECHANICAL POWER TRANSMISSION,MRO (INDUSTRIAL) SUPPLY,POWER TRANSMISSION & BEARINGS,MRO,INDIRECT,Manufacturing,8337281.363
AIR FREIGHT,LOGISTIC SERVICES,AIR FREIGHT,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Manufacturing,21110643.52
HR OUTSOURCING,HUMAN RESOURCES,HR OUTSOURCING,HR,INDIRECT,Manufacturing,992147.0363
AUTOMATION (BPA & RPA),INFORMATION TECHNOLOGY,AUTOMATION (BPA & RPA),INFORMATION TECHNOLOGY,INDIRECT,Education,535446.51
LOCKSMITH,REAL ESTATE & FACILITIES,LOCKSMITH,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,306681.1133
CHEMICALS/REAGENTS,DIRECT MATERIALS & EQUIPMENT,CHEMICALS/REAGENTS,MRO,DIRECT,Energy & Utilities,950646.065
NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,NETWORK INFRASTRUCTURE,INFORMATION TECHNOLOGY,INDIRECT,Energy & Utilities,2306046.55
SOFTWARE,INFORMATION TECHNOLOGY,BI & DATA ANALYTICS SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Retail,246305388.1
ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,INDIRECT,Retail,31090599.48
MAR TECH - DATA,MARKETING,MAR TECH - DATA,MARKETING,INDIRECT,Retail,8642278.18
EQUIPMENT RENTAL,MRO,EQUIPMENT RENTAL,MRO,INDIRECT,Retail,51040642.8
BUILDING CONSTRUCTION,CONSTRUCTION,BUILDING CONSTRUCTION,CONSTRUCTION & EQUIPMENT,INDIRECT,Retail,422681058.4
PROMOTIONS & CUSTOMER LOYALTY,MARKETING,PROMOTIONS & CUSTOMER LOYALTY,MARKETING,INDIRECT,Retail,5767356.17
PRODUCTIVITY SOFTWARE,INFORMATION TECHNOLOGY,PRODUCTIVITY & WORKSPACE APPS,INFORMATION TECHNOLOGY,INDIRECT,Retail,56517255.32
FINANCE & ACCOUNTING SOFTWARE,INFORMATION TECHNOLOGY,FINANCE & ACCOUNTING SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Retail,18298672.93
EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,EXPENSE MANAGEMENT SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Retail,6602493.36
OFFICE FURNITURE,GENERAL SERVICES & SUPPLIES,OFFICE FURNITURE,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,1396234.283
LAB SUPPLIES R&D,SCIENTIFIC / LAB,LAB SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Pharmaceuticals,82728457.27
AIR COMPRESSORS,MRO,AIR COMPRESSORS,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,4897362.673
IT SOFTWARE SUPPORT,IT / TELECOM,THIRD PARTY MAINTENANCE,INFORMATION TECHNOLOGY,INDIRECT,Pharmaceuticals,31956298.98
HAZARDOUS WASTE MANAGEMENT,GENERAL SERVICES & SUPPLIES,HAZARDOUS WASTE MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Pharmaceuticals,4784011.818
TOLLS,TRAVEL & AUTO,TOLLS,TRAVEL,INDIRECT,Pharmaceuticals,13.06524771
BENEFITS ADMINISTRATION,HR BENEFITS & SERVICES,BENEFITS ADMINISTRATION,HR,INDIRECT,Retail,22639056.55
MEDICAL INSURANCE,HR BENEFITS & SERVICES,MEDICAL INSURANCE,HR,INDIRECT,Retail,647504595.5
CORRUGATE,OPERATIONAL SUPPLIES,CORRUGATED,PACKAGING PRODUCTS,INDIRECT,Retail,715707.09
TRAILER MAINTENANCE & REPAIR,FLEET,TRAILER MAINTENANCE & REPAIR,FLEET,INDIRECT,Transportation,767790.35
RECRUITING,HR,RECRUITING,HR,INDIRECT,Transportation,8826351.715
ELECTRICITY,UTILITIES,ELECTRICITY,UTILITIES,INDIRECT,Transportation,26346899.78
OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Transportation,4192421.616
AIRFARE,TRAVEL,AIRFARE,TRAVEL,INDIRECT,Transportation,2399396.85
IT INFRASTRUCTURE SERVICES,INFORMATION TECHNOLOGY,IT INFRASTRUCTURE SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Transportation,114113.38
PAYROLL PROCESSING,HR,PAYROLL PROCESSING,HR,INDIRECT,Transportation,10946424.69
RACKING & SHELVING,MRO,RACKING & SHELVING,MRO,INDIRECT,Transportation,1468303.38
CONTROL & AUTOMATION,MRO,CONTROL & AUTOMATION,MRO,INDIRECT,Transportation,344432.86
JOB BOARDS,HR SERVICES,JOB BOARDS,HR,INDIRECT,Pharmaceuticals,584442.7383
COMMISSIONS,UNADDRESSABLE,COMMISSIONS,UNADDRESSABLE,UNADDRESSABLE,Manufacturing,38309048.07
MEDICAL DEVICES,MEDICAL SUPPLIES & SERVICES,MEDICAL/SURGICAL SUPPLIES,MEDICAL PRODUCTS/SERVICES,DIRECT,Retail,2604525766
ELECTRICIANS & ELECTRICAL SERVICES,FACILITIES MANAGEMENT & MAINTENANCE,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Retail,30426301.75
PHOTOGRAPHY,MARKETING,MEDIA PRODUCTION,MARKETING,INDIRECT,Retail,1043327.82
Material Handling Equipment,Transportation & Logistics,EQUIPMENT,CONSTRUCTION & EQUIPMENT,LOGISTICS & PACKAGING,Retail,113052641.2
Signage and Displays,Printing Services,SIGNAGE & GRAPHICS,PRINT,INDIRECT,Retail,127697558.3
Copy Services,Printing Services,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Retail,51166.7
TRAINING & DEVELOPMENT IN-PERSON,HUMAN RESOURCES,TRAINING & DEVELOPMENT,HR,INDIRECT,Insurance,77570970.8
NON-ADDRESSABLE OTHER,NON-ADDRESSABLE,UNADDRESSABLE,UNADDRESSABLE,UNADDRESSABLE,Insurance,149351201.4
WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL),ADVERTISING,WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL),MARKETING,INDIRECT,Insurance,68655914.83
WORKING MEDIA - PAID SOCIAL,ADVERTISING,WORKING MEDIA - PAID SOCIAL,MARKETING,INDIRECT,Insurance,60670530.58
TRANSLATION SERVICES,INFORMATION SERVICES,TRANSLATION SERVICES,PROFESSIONAL SERVICES,INDIRECT,Insurance,46231240.82
PHOTO/ AUDIO/ VISUAL SERVICES,FACILITIES,AV & DISPLAY TECHNOLOGY,INFORMATION TECHNOLOGY,INDIRECT,Insurance,32527139.31
INSURTECH,IT OUTSOURCING,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Insurance,122493789.5
PRINTER SUPPLIES,WORKPLACE AMENITIES,OFFICE SUPPLIES,CORPORATE,INDIRECT,Insurance,1900295.062
INTEGRATED FACILITIES MANAGEMENT,FACILITIES,INTEGRATED FACILITIES MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Insurance,5126312.694
WORKFORCE COLLABORATION,SOFTWARE,WORKFORCE COLLABORATION,INFORMATION TECHNOLOGY,INDIRECT,Insurance,9014285.948
IT ASSET MANAGEMENT,IT OUTSOURCING,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Insurance,715443.3886
"ASSET MGMT TECH (EAM, SAM & ITAM)",SOFTWARE,"ASSET MGMT TECH (EAM, SAM & ITAM)",INFORMATION TECHNOLOGY,INDIRECT,Insurance,5283120.63
CONSTRUCTION PROJECT MANAGEMENT,FACILITIES,CONSTRUCTION PROJECT MANAGEMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Insurance,3911091.487
DIRECT MAIL,COMMERCIAL PRINT,DIRECT MAIL,PRINT,INDIRECT,Insurance,5365307.19
SUNDRIES,OFFICE SUPPLIES & SERVICES,SUNDRIES,CORPORATE,INDIRECT,Real Estate,15408743.81
ELECTRICAL SUPPLIES & SERVICES,EQUIPMENT & FINISHED GOODS,ELECTRICAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Real Estate,297156918.6
IT & TELCOM (MISC.),IT & TELECOM,IT CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,6190520.079
EVENTS & CONFERENCES,MARKETING & COMMUNICATION,EVENTS & CONFERENCES,MARKETING,INDIRECT,Real Estate,41685376.48
IT SECURITY SERVICES,IT & TELECOM,IT SECURITY CONSULTING,INFORMATION TECHNOLOGY,INDIRECT,Real Estate,4483360.856
DATA FEEDS & SERVICES,PROFESSIONAL SERVICES,DATA FEEDS & SERVICES,CORPORATE,INDIRECT,Real Estate,15111787.41
Financial Research,Finance,FINANCIAL & MARKET DATA,CORPORATE,,Education,6861449.74
APP & INFRA SECURITY,SOFTWARE,APP & INFRA SECURITY,INFORMATION TECHNOLOGY,INDIRECT,Insurance,76085930.33
Settlements / Insurance Claims,Currently Not Addressed,SETTLEMENTS / INSURANCE CLAIMS,UNADDRESSABLE,UNADDRESSABLE,Business Intelligence (BI) Software,1517097384
Telecom Voice/Data Service,IT Infrastructure,VOICE & DATA SERVICES,INFORMATION TECHNOLOGY,INDIRECT,Business Intelligence (BI) Software,262590291.3
Taxes & Fees,Currently Not Addressed,TAXES & FEES,UNADDRESSABLE,UNADDRESSABLE,Business Intelligence (BI) Software,4011334498
Audiovisual (AV) Equipment,IT Infrastructure,AV & DISPLAY TECHNOLOGY,INFORMATION TECHNOLOGY,INDIRECT,Business Intelligence (BI) Software,94285092.3
Branding,Marketing,ADVERTISING AGENCIES,MARKETING,INDIRECT,Business Intelligence (BI) Software,5186249.222
WEBSITE HOSTING,INFORMATION TECHNOLOGY,DOMAIN NAME & HOSTING,INFORMATION TECHNOLOGY,INDIRECT,Business Services,12035982.78
CORRUGATED,PACKAGING PRODUCTS,CORRUGATED,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Business Services,6689516.749
RACKING & SHELVINGS,MATERIAL HANDLING EQUIPMENT,RACKING & SHELVING,MRO,INDIRECT,Business Services,7456110.659
CONTACT CENTER SOFTWARE,INFORMATION TECHNOLOGY,CONTACT CENTER SOFTWARE,INFORMATION TECHNOLOGY,INDIRECT,Food & Beverages,6518364.59
BUSINESS PROCESS OUTSOURCING (BPO),PROFESSIONAL SERVICES,BUSINESS PROCESS OUTSOURCING (BPO),PROFESSIONAL SERVICES,INDIRECT,Food & Beverages,72440233.27
THIRD PARTY LOGISTICS (3PL),TRANSPORTATION & LOGISTICS,THIRD PARTY LOGISTICS (3PL),TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Food & Beverages,2389438414
ELECTRONICS,MRO,ELECTRONICS,MRO,INDIRECT,Food & Beverages,808522.8
JANITORIAL SERVICES,REAL ESTATE & FACILITIES,JANITORIAL SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverages,60247426.1
ECOMMERCE & PAYMENT TECH,INFORMATION TECHNOLOGY,ECOMMERCE & PAYMENT TECH,INFORMATION TECHNOLOGY,INDIRECT,Food & Beverages,990019.55
POWER TRANSMISSION & BEARINGS,MRO,POWER TRANSMISSION & BEARINGS,MRO,INDIRECT,Food & Beverages,141646.94
RECRUITING,HR,RECRUITING,HR,INDIRECT,Food & Beverages,12090738.99
BENEFITS ADMINISTRATION,HR,BENEFITS ADMINISTRATION,HR,INDIRECT,Food & Beverages,243644.57
CORRUGATED,PACKAGING PRODUCTS,CORRUGATED,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Food & Beverages,3238178.24
DUES & SUBSCRIPTIONS,CORPORATE,DUES & SUBSCRIPTIONS,CORPORATE,INDIRECT,Food & Beverages,18000
INTEREST / DEBT PAYMENTS,UNADDRESSABLE,INTEREST / DEBT PAYMENTS,UNADDRESSABLE,UNADDRESSABLE,Federal,1113436019
MEALS & ENTERTAINMENT,TRAVEL,MEALS & ENTERTAINMENT,TRAVEL,INDIRECT,Federal,19147092.09
BACKGROUND CHECKS & DRUG TESTING,HR,BACKGROUND CHECKS & DRUG TESTING,HR,,Federal,7719232.53
WORKERS COMPENSATION INSURANCE,CORPORATE,WORKERS COMPENSATION INSURANCE,CORPORATE,INDIRECT,Federal,50141682.17
INTERNAL TRANSFERS,UNADDRESSABLE,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Federal,250053056.6
PROPANE,MRO,PROPANE,CHEMICALS,INDIRECT,Federal,5012.18
MEDICAL/SURGICAL SUPPLIES,MEDICAL & DENTAL,MEDICAL/SURGICAL SUPPLIES,MEDICAL PRODUCTS/SERVICES,INDIRECT,Federal,7460737.07
PRINTING & SHIPPING CENTER,CORPORATE,PRINTING & SHIPPING CENTER,CORPORATE,INDIRECT,Federal,5109.85
NON-HAZARDOUS WASTE DISPOSAL,REAL ESTATE & FACILITIES,NON-HAZARDOUS WASTE DISPOSAL,REAL ESTATE & FACILITIES,INDIRECT,Federal,269323.86
OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,OFFICE EQUIPMENT,INFORMATION TECHNOLOGY,INDIRECT,Business Services,7858916.68
CORES & TUBES,PACKAGING PRODUCTS,CORES & TUBES,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Federal,23695.2
COLLECTION SERVICES,LOAN AND CREDIT,COLLECTION SERVICES,PROFESSIONAL SERVICES,INDIRECT,Banking,5988725.045
DONATIONS,PUBLIC AFFAIRS,CHARITABLE CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Banking,84459253.32
CORPORATE AIR,TRAVEL,CORPORATE AIRCRAFT,CORPORATE,INDIRECT,Banking,39365224.11
Courier Service,Transportation & Logistics,COURIER SERVICES,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Retail,33644342.8
Employee Reimbursement,Unaddressable,EMPLOYEE COMPENSATION & REIMBURSEMENT,UNADDRESSABLE,UNADDRESSABLE,Aerospace & Defense,10471230.89
Material Handling Equipment,Equipment,EQUIPMENT,CONSTRUCTION & EQUIPMENT,,Aerospace & Defense,26844653.43
Employee Insurance & Benefits,Insurance & Benefits,INSURANCE & BENEFITS,HR,INDIRECT,Aerospace & Defense,113719815.3
Internal Transfer,Unaddressable,INTERNAL TRANSFERS,UNADDRESSABLE,UNADDRESSABLE,Aerospace & Defense,183600214.3
Accounting & Auditing,Professional Services,ACCOUNTING & AUDITING,PROFESSIONAL SERVICES,INDIRECT,Aerospace & Defense,15035736.42
Travel Agencies,Travel,TRAVEL MANAGEMENT,TRAVEL,,Aerospace & Defense,1420875.754
CLOUD SERVICES,IT PRODUCTS & SERVICES,CLOUD SERVICES,INFORMATION TECHNOLOGY,,Custom Software & IT Services,16682726.67
HOTEL & LODGING,TRAVEL,HOTELS,TRAVEL,,Custom Software & IT Services,93052654.43
ERP,IT PRODUCTS & SERVICES,ERP,INFORMATION TECHNOLOGY,INDIRECT,Custom Software & IT Services,257974097.1
DOCUMENT MANAGEMENT & SHREDDING,ADMINISTRATIVE PRODUCTS & SERVICES,DOCUMENT MANAGEMENT & SHREDDING,CORPORATE,,Custom Software & IT Services,4293174.296
SAFETY SUPPLIES,MRO SUPPLIES,SAFETY SUPPLIES,MRO,INDIRECT,Custom Software & IT Services,5519935.576
FACILITY / PROPERTY RENT,FACILITIES MANAGEMENT & MAINTENANCE,FACILITY / PROPERTY RENT,REAL ESTATE & FACILITIES,,Custom Software & IT Services,439729766.5
LICENSES & PERMITS,UNADDRESSABLE,LICENSES & PERMITS,UNADDRESSABLE,UNADDRESSABLE,Custom Software & IT Services,13390681.7
INTERMODAL,TRANSPORTATION & LOGISTICS,INTERMODAL,TRANSPORTATION & LOGISTICS,,Custom Software & IT Services,104025.9245
FLEET MAINTENANCE & REPAIR,FLEET,FLEET MAINTENANCE & REPAIR,FLEET,INDIRECT,Chemicals & Related Products,2513358.333
MATERIAL HANDLING EQUIPMENT,EQUIPMENT,EQUIPMENT,CONSTRUCTION & EQUIPMENT,INDIRECT,Chemicals & Related Products,47364768.38
SAFETY SUPPLIES,MRO PARTS,SAFETY SUPPLIES,MRO,INDIRECT,Chemicals & Related Products,6497047.972
ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,ENVIRONMENTAL CONSULTING,PROFESSIONAL SERVICES,INDIRECT,Chemicals & Related Products,14705940.59
LIFE INSURANCE,INSURANCE,LIFE & DISABILITY INSURANCE,HR,INDIRECT,Chemicals & Related Products,2264861.348
DUES & SUBSCRIPTIONS,ADMINISTRATIVE,DUES & SUBSCRIPTIONS,CORPORATE,INDIRECT,Chemicals & Related Products,2179195.254
PACKAGING OTHER,PACKING & SHIPPING SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,INDIRECT,Chemicals & Related Products,5044312.83
SHIPPING SUPPLIES,PACKING & SHIPPING SUPPLIES,PACKAGING SUPPLIES,PACKAGING PRODUCTS,INDIRECT,Chemicals & Related Products,12509956.48
RECYCLING,REAL ESTATE & FACILITIES,RECYCLING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Chemicals & Related Products,3694366.418
UNION CONTRIBUTIONS,UNADDRESSABLE,UNION CONTRIBUTIONS,UNADDRESSABLE,UNADDRESSABLE,Chemicals & Related Products,896149.98
MEDICAL EQUIPMENT,BIOMEDICAL EQUIPMENT & MAINTENANCE,LAB/MEDICAL EQUIPMENT,MEDICAL PRODUCTS/SERVICES,DIRECT,Medical & Surgical Hospitals,11088352.76
SMALL PARCEL SHIPPING,FACILITIES AND SUPPORT SERVICES,SMALL PARCEL SHIPPING,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Medical & Surgical Hospitals,228912.67
LICENSES & PERMITS,FINANCE & HR SERVICES,LICENSES & PERMITS,UNADDRESSABLE,UNADDRESSABLE,Medical & Surgical Hospitals,464949
MAILROOM MANAGEMENT,FACILITIES AND SUPPORT SERVICES,PRINT / MAILROOM MANAGEMENT,REAL ESTATE & FACILITIES,INDIRECT,Medical & Surgical Hospitals,18218765.49
PARKING & TOLLS,TRAVEL,PARKING,TRAVEL,,Medical & Surgical Hospitals,61313.69
POSTAGE & POSTAGE EQUIPMENT,ADMINISTRATIVE SERVICES,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Medical & Surgical Hospitals,2206084.67
ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverage,502604.891
FIRE & LIFE SAFETY,REAL ESTATE & FACILITIES,FIRE & LIFE SAFETY,REAL ESTATE & FACILITIES,INDIRECT,Food & Beverage,2064409.951
FINANCIAL & RISK ADVISORY,FINANCE & HR SERVICES,FINANCIAL & RISK ADVISORY,PROFESSIONAL SERVICES,INDIRECT,Medical & Surgical Hospitals,1848048.79
MAR TECH,INFORMATION TECHNOLOGY,MAR TECH,MARKETING,INDIRECT,Medical & Surgical Hospitals,3658353.89
FLEXIBLE PACKAGING,PACKAGING PRODUCTS,FLEXIBLE PACKAGING,PACKAGING PRODUCTS,LOGISTICS & PACKAGING,Consumer Packaged Goods (CPG),952766.51
MEDIA PRODUCTION,MARKETING,MEDIA PRODUCTION,MARKETING,INDIRECT,Consumer Packaged Goods (CPG),13577350.31
CUSTOMS BROKERAGE,TRANSPORTATION & LOGISTICS,CUSTOMS BROKERAGE,TRANSPORTATION & LOGISTICS,,Consumer Packaged Goods (CPG),15571113.7
FLEET INTELLIGENCE & MGMT,INFORMATION TECHNOLOGY,FLEET INTELLIGENCE & MGMT,INFORMATION TECHNOLOGY,INDIRECT,Consumer Packaged Goods (CPG),26550
CREDIT CARD PROCESSING,CORPORATE,CREDIT CARD PROCESSING,CORPORATE,INDIRECT,Consumer Packaged Goods (CPG),667525.31
PHARMACY BENEFITS MANAGEMENT,HR,PHARMACY BENEFITS MANAGEMENT,HR,INDIRECT,Consumer Packaged Goods (CPG),7093728.35
ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,ELECTRONIC SECURITY,REAL ESTATE & FACILITIES,INDIRECT,Consumer Packaged Goods (CPG),550414.03
JOB BOARDS,HR,JOB BOARDS,HR,INDIRECT,Consumer Packaged Goods (CPG),1116246.16
CONSULTING SERVICES,PROFESSIONAL & CONSULTING SERVICES,ADVISORY & MANAGEMENT CONSULTING,PROFESSIONAL SERVICES,,Banking,8880569.76
MEDIA BUYING & PLANNING,MARKETING & COMMUNICATIONS,DIGITAL MEDIA BUYING & PLANNING,MARKETING,,Banking,329673.2498
WATER TREATMENT CHEMICALS,MRO,WATER TREATMENT,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,42405857.4
PAINTING SERVICES,REAL ESTATE & FACILITIES,PAINTING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,3073786.77
MEDICAL INSURANCE,HR,MEDICAL INSURANCE,HR,INDIRECT,Energy & Utilities,108141027.3
CONTROL & AUTOMATION,MRO,CONTROL & AUTOMATION,MRO,INDIRECT,Energy & Utilities,7263518.2
OUTSIDE LABS,MEDICAL PRODUCTS/SERVICES,OUTSIDE LABS,MEDICAL PRODUCTS/SERVICES,INDIRECT,Energy & Utilities,69462.6
QUALITY INSPECTIONS & TESTING,MRO,QUALITY TESTING & INSPECTION,OUTSIDE PROCESSING,INDIRECT,Energy & Utilities,360780.34
SALES & MARKETING SOFTWARE,INFORMATION TECHNOLOGY,SALES ENABLEMENT & PERFORMANCE,INFORMATION TECHNOLOGY,INDIRECT,Energy & Utilities,527100.73
BUILDING ENGINEERING SERVICES,REAL ESTATE & FACILITIES,BUILDING ENGINEERING SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Energy & Utilities,102996
POSTAGE & POSTAGE EQUIPMENT,CORPORATE,POSTAGE & POSTAGE EQUIPMENT,CORPORATE,INDIRECT,Energy & Utilities,584553.3197
Catering,Food & Beverage,FOOD SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Education,186941319.5
Employee Payroll & Taxes,Unaddressable,EMPLOYEE COMPENSATION & REIMBURSEMENT,UNADDRESSABLE,UNADDRESSABLE,Education,454147113.7
Royalties,University Services,ROYALTIES,UNADDRESSABLE,UNADDRESSABLE,Education,243585218.8
Vehicle Maintenance & Parts,Vehicles & Equipment,FLEET PARTS & EQUIPMENT,FLEET,INDIRECT,Education,3980779.7
Coffee Services,Beverage Supplies & Services,BREAKROOM SERVICES,REAL ESTATE & FACILITIES,INDIRECT,Education,3297374.91
Customs Brokerage & Freight Forwarding Services,Shipping Services,CUSTOMS BROKERAGE,TRANSPORTATION & LOGISTICS,LOGISTICS & PACKAGING,Education,7075074.26
Fleet Management,Vehicles & Equipment,FLEET MANAGEMENT & LEASING,FLEET,INDIRECT,Education,2320321.55
